product_id,category,price,launch_date
P00001,Sports,30.98,2025-06-08
P00002,Beauty,11.6,2025-01-12
P00003,Sports,13.68,2025-03-13
P00004,Fashion,22.23,2025-03-24
P00005,Electronics,56.41,2025-05-24
P00006,Books,12.27,2025-01-24
P00007,Sports,11.26,2025-03-20
P00008,Sports,10.89,2025-01-28
P00009,Electronics,19.02,2025-05-22
P00010,Beauty,7.25,2025-04-24
P00011,Home & Kitchen,25.32,2025-03-31
P00012,Books,19.99,2025-03-12
P00013,Fashion,17.97,2025-01-28
P00014,Sports,7.26,2025-06-15
P00015,Beauty,14.75,2025-04-27
P00016,Home & Kitchen,22.4,2025-02-27
P00017,Fashion,46.43,2025-03-16
P00018,Electronics,18.77,2025-05-11
P00019,Sports,16.85,2025-05-10
P00020,Fashion,38.95,2025-03-24
P00021,Sports,24.59,2025-02-24
P00022,Home & Kitchen,31.06,2025-04-29
P00023,Books,12.69,2025-04-29
P00024,Books,13.98,2025-04-18
P00025,Sports,28.5,2025-01-14
P00026,Home & Kitchen,16.74,2025-03-27
P00027,Beauty,23.85,2025-04-21
P00028,Electronics,19.49,2025-06-21
P00029,Electronics,41.91,2025-04-05
P00030,Fashion,19.59,2025-03-03
P00031,Sports,15.22,2025-04-11
P00032,Books,11.93,2025-02-01
P00033,Home & Kitchen,18.21,2025-01-17
P00034,Home & Kitchen,14.88,2025-05-03
P00035,Beauty,13.7,2025-06-27
P00036,Home & Kitchen,14.67,2025-06-02
P00037,Electronics,41.81,2025-04-16
P00038,Beauty,9.58,2025-01-08
P00039,Home & Kitchen,33.21,2025-06-27
P00040,Fashion,10.62,2025-03-22
P00041,Beauty,12.45,2025-02-22
P00042,Sports,15.16,2025-06-10
P00043,Fashion,32.82,2025-05-15
P00044,Home & Kitchen,27.96,2025-05-15
P00045,Sports,18.26,2025-02-19
P00046,Sports,25.14,2025-06-28
P00047,Beauty,6.23,2025-03-23
P00048,Home & Kitchen,23.64,2025-04-06
P00049,Fashion,44.41,2025-05-16
P00050,Electronics,38.37,2025-04-29
P00051,Home & Kitchen,24.85,2025-02-01
P00052,Electronics,46.27,2025-02-24
P00053,Sports,30.05,2025-03-07
P00054,Fashion,7.36,2025-06-20
P00055,Fashion,8.48,2025-05-09
P00056,Sports,22.08,2025-03-07
P00057,Beauty,11.65,2025-05-13
P00058,Fashion,32.62,2025-05-13
P00059,Electronics,31.37,2025-03-12
P00060,Electronics,15.14,2025-03-14
P00061,Fashion,10.22,2025-06-10
P00062,Beauty,4.66,2025-04-12
P00063,Fashion,16.27,2025-01-27
P00064,Sports,18.45,2025-05-10
P00065,Fashion,14.93,2025-04-17
P00066,Fashion,29.37,2025-04-02
P00067,Fashion,31.0,2025-05-11
P00068,Home & Kitchen,22.32,2025-06-13
P00069,Electronics,13.83,2025-03-01
P00070,Beauty,21.21,2025-03-17
P00071,Home & Kitchen,30.95,2025-02-04
P00072,Beauty,18.47,2025-04-27
P00073,Sports,31.24,2025-03-14
P00074,Home & Kitchen,14.27,2025-03-03
P00075,Electronics,89.28,2025-05-06
P00076,Home & Kitchen,15.65,2025-03-15
P00077,Home & Kitchen,33.77,2025-03-25
P00078,Fashion,8.46,2025-03-21
P00079,Fashion,11.89,2025-02-16
P00080,Sports,39.74,2025-01-23
P00081,Fashion,16.07,2025-05-29
P00082,Beauty,23.45,2025-01-17
P00083,Sports,22.35,2025-02-28
P00084,Electronics,34.49,2025-05-01
P00085,Electronics,66.79,2025-01-24
P00086,Electronics,32.5,2025-04-28
P00087,Sports,9.01,2025-05-12
P00088,Beauty,11.19,2025-04-30
P00089,Electronics,46.33,2025-02-24
P00090,Beauty,19.2,2025-01-04
P00091,Electronics,17.86,2025-06-09
P00092,Fashion,13.05,2025-02-28
P00093,Beauty,12.37,2025-05-25
P00094,Beauty,13.63,2025-02-05
P00095,Home & Kitchen,12.98,2025-01-30
P00096,Fashion,13.62,2025-05-21
P00097,Home & Kitchen,17.36,2025-06-19
P00098,Electronics,51.16,2025-06-04
P00099,Electronics,52.03,2025-05-16
P00100,Books,11.29,2025-02-14
P00101,Books,10.1,2025-06-14
P00102,Fashion,19.25,2025-05-01
P00103,Home & Kitchen,16.69,2025-01-31
P00104,Books,7.19,2025-01-24
P00105,Sports,13.16,2025-06-06
P00106,Fashion,13.59,2025-02-19
P00107,Beauty,9.52,2025-05-18
P00108,Home & Kitchen,25.93,2025-01-25
P00109,Electronics,50.21,2025-02-20
P00110,Books,5.9,2025-02-21
P00111,Beauty,16.25,2025-02-20
P00112,Home & Kitchen,21.83,2025-05-02
P00113,Home & Kitchen,28.11,2025-06-14
P00114,Fashion,17.97,2025-06-13
P00115,Electronics,18.8,2025-05-14
P00116,Sports,11.38,2025-02-06
P00117,Sports,20.35,2025-06-22
P00118,Fashion,28.72,2025-04-08
P00119,Beauty,5.93,2025-04-09
